DrawdownP,DrawdownEW
0.0,0.0
0.16265049720512825,0.16265049720512825
1.568489841493147e-6,0.10406163099999997
3.7638430842458567e-6,0.13540348287179488
0.033106215411231814,0.20713623284615382
1.2192776421351846e-5,0.47709263928205137
3.0597321464413233e-6,0.11123347438461541
2.6589242966056257e-6,0.0648673757948718
1.8666263008245859e-6,0.08608630889743589
0.1486236978317223,0.1017751992051282
1.5978627680188444e-6,0.09215472138461539
1.145925803236556e-6,0.044825937205128216
2.8382331457264236e-6,0.08148739130769231
0.02014495683215789,0.24211584474358974
0.04167042265625396,0.08978422361538461
0.0246239236307575,0.07049289051282047
0.06274888552019167,0.12365325671794873
0.05280794785980009,0.05385748423076921
0.03651419399985799,0.06702524397435897
0.0619257154450716,0.1769680864102564
0.047110716230846346,0.06078268356410258
0.03992533125162373,0.12450254730769239
0.06505637725508488,0.048202229179487174
0.08173599741197328,0.25402740361538456
0.028623529808562427,0.06982281161538462
0.11184789972413572,0.3225458055641025
0.02840567453753204,0.16079834928205128
0.14831532427892516,0.14381607043589742
2.0897175788770574e-6,0.11273156635897434
5.41779142456083e-6,0.12941616356410257
0.3743216923870313,0.10381775753846159
0.005454207494013544,0.11913448823076925
0.3956141430475391,0.0962416944102564
0.024539112312233904,0.061507819205128225
0.10347550242430265,0.18414231625641028
0.020197510536663497,0.04813774466666666
0.06485338683298209,0.08055697817948715
0.04752657927019615,0.08209487202564103
0.08184437725589815,0.04548458087179486
0.40515959763974774,0.6337165321282051
0.022126992307259504,0.06933561156410259
0.06812671551969084,0.08593499782051281
0.11930171550540844,0.095864303974359
0.04015792027721633,0.14314250987179483
0.1384270845542683,0.1392018447948718
