mixedCVaR,returns
0.008,4.786993572118778e-5
0.008,7.471506516036795e-6
0.008,5.831878904304935e-6
0.008,3.200679364048534e-6
0.019,-0.011179346523438407
0.008,-9.886905762734166e-8
0.008,7.90071282976215e-6
0.008,1.7616634854754076e-5
0.008,2.1741062403910877e-5
0.008,1.2999772404512013
0.008,6.188478423563336e-6
0.008,1.1302348966726861e-5
0.008,0.29911559043704294
0.008,3.6322774589481455e-6
0.008,4.151868794204643e-6
0.008,2.9381995212990057e-5
0.008,1.1105817940441618e-6
0.008,2.8570046106896203e-5
0.008,1.286630488159644e-5
0.008,1.2242079606063743e-6
0.008,1.0115272990043216e-5
0.008,6.945285399221869e-6
0.008,5.180435244167041e-6
0.008,1.882406637034576e-6
0.008,8.63710150804382e-6
0.013,0.03789485602857249
0.019,0.30429799459255547
0.022,0.31703864793974795
0.008,0.1656440271901585
0.008,6.6671525874289844e-6
0.009,0.07044485130479748
0.009,0.04437619724614696
0.008,5.448262956498209e-6
0.013,0.15160581543611595
0.008,1.110370851166445e-6
0.014,0.17850520555517127
0.016,0.15824453609955288
0.01,0.08334816403197014
0.012,0.29417529825909683
0.098,0.01839938519525225
0.017,0.44629376582994484
0.022,0.3679722296434415
0.019,0.3600169146864547
0.024,0.09975228478262141
0.022,0.06839093076419873
